Code,Year,Name,Landfall Counts,Max Category Rating,Anomaly
AL051878,1878,UNNAMED,4,2,0.19
AL061878,1878,UNNAMED,0,2,0.19
AL071878,1878,UNNAMED,0,4,0.19
AL081878,1878,UNNAMED,1,1,0.19
AL091878,1878,UNNAMED,0,1,0.19
AL101878,1878,UNNAMED,0,3,0.19
AL111878,1878,UNNAMED,1,2,0.19
AL121878,1878,UNNAMED,0,0,0.19
AL011879,1879,UNNAMED,0,1,0.04
AL021879,1879,UNNAMED,2,3,0.04
AL031879,1879,UNNAMED,1,2,0.04
AL041879,1879,UNNAMED,1,3,0.04
AL051879,1879,UNNAMED,1,0,0.04
AL061879,1879,UNNAMED,1,0,0.04
AL071879,1879,UNNAMED,1,1,0.04
AL081879,1879,UNNAMED,0,2,0.04
AL011880,1880,UNNAMED,1,0,-0.02
AL021880,1880,UNNAMED,1,4,-0.02
AL031880,1880,UNNAMED,0,1,-0.02
AL041880,1880,UNNAMED,2,2,-0.02
AL051880,1880,UNNAMED,0,1,-0.02
AL061880,1880,UNNAMED,2,1,-0.02
AL071880,1880,UNNAMED,0,1,-0.02
AL081880,1880,UNNAMED,0,4,-0.02
AL091880,1880,UNNAMED,1,1,-0.02
AL101880,1880,UNNAMED,0,1,-0.02
AL111880,1880,UNNAMED,2,0,-0.02
AL011881,1881,UNNAMED,1,1,0.04
AL031881,1881,UNNAMED,0,1,0.04
AL021881,1881,UNNAMED,1,0,0.04
AL041881,1881,UNNAMED,0,1,0.04
AL051881,1881,UNNAMED,1,2,0.04
AL061881,1881,UNNAMED,1,2,0.04
AL071881,1881,UNNAMED,0,1,0.04
AL011882,1882,UNNAMED,0,1,0.03
AL021882,1882,UNNAMED,1,3,0.03
AL031882,1882,UNNAMED,1,0,0.03
AL041882,1882,UNNAMED,2,0,0.03
AL051882,1882,UNNAMED,0,1,0.03
AL061882,1882,UNNAMED,1,4,0.03
AL011883,1883,UNNAMED,0,1,-0.04
AL021883,1883,UNNAMED,0,3,-0.04
AL031883,1883,UNNAMED,1,3,-0.04
AL041883,1883,UNNAMED,0,1,-0.04
AL011884,1884,UNNAMED,0,1,-0.12
AL021884,1884,UNNAMED,0,3,-0.12
AL031884,1884,UNNAMED,1,1,-0.12
AL041884,1884,UNNAMED,0,2,-0.12
AL011885,1885,UNNAMED,0,1,-0.17
AL021885,1885,UNNAMED,1,2,-0.17
AL031885,1885,UNNAMED,1,0,-0.17
AL041885,1885,UNNAMED,2,1,-0.17
AL051885,1885,UNNAMED,0,1,-0.17
AL061885,1885,UNNAMED,1,1,-0.17
AL071885,1885,UNNAMED,0,1,-0.17
AL081885,1885,UNNAMED,1,0,-0.17
AL011886,1886,UNNAMED,1,2,-0.16
AL021886,1886,UNNAMED,1,2,-0.16
AL031886,1886,UNNAMED,1,2,-0.16
AL041886,1886,UNNAMED,1,1,-0.16
AL051886,1886,UNNAMED,1,4,-0.16
AL061886,1886,UNNAMED,0,3,-0.16
AL071886,1886,UNNAMED,0,3,-0.16
AL081886,1886,UNNAMED,0,2,-0.16
AL091886,1886,UNNAMED,0,2,-0.16
AL101886,1886,UNNAMED,1,3,-0.16
AL111886,1886,UNNAMED,0,0,-0.16
AL121886,1886,UNNAMED,0,0,-0.16
AL011887,1887,UNNAMED,0,0,-0.2
AL021887,1887,UNNAMED,0,0,-0.2
AL031887,1887,UNNAMED,1,0,-0.2
AL041887,1887,UNNAMED,1,2,-0.2
AL051887,1887,UNNAMED,0,0,-0.2
AL061887,1887,UNNAMED,0,3,-0.2
AL071887,1887,UNNAMED,0,3,-0.2
AL081887,1887,UNNAMED,0,2,-0.2
AL091887,1887,UNNAMED,1,2,-0.2
AL101887,1887,UNNAMED,0,1,-0.2
AL111887,1887,UNNAMED,0,0,-0.2
AL121887,1887,UNNAMED,0,0,-0.2
AL131887,1887,UNNAMED,1,1,-0.2
AL141887,1887,UNNAMED,0,1,-0.2
AL151887,1887,UNNAMED,0,2,-0.2
AL161887,1887,UNNAMED,1,1,-0.2
AL171887,1887,UNNAMED,0,1,-0.2
AL181887,1887,UNNAMED,0,1,-0.2
AL191887,1887,UNNAMED,0,0,-0.2
AL011888,1888,UNNAMED,1,1,-0.01
AL021888,1888,UNNAMED,1,0,-0.01
AL031888,1888,UNNAMED,2,3,-0.01
AL041888,1888,UNNAMED,0,3,-0.01
AL051888,1888,UNNAMED,1,0,-0.01
AL061888,1888,UNNAMED,1,1,-0.01
AL071888,1888,UNNAMED,2,2,-0.01
AL081888,1888,UNNAMED,0,0,-0.01
AL091888,1888,UNNAMED,0,2,-0.01
AL011889,1889,UNNAMED,0,1,0.0
AL021889,1889,UNNAMED,1,1,0.0
AL031889,1889,UNNAMED,0,1,0.0
AL041889,1889,UNNAMED,0,2,0.0
AL051889,1889,UNNAMED,0,1,0.0
AL061889,1889,UNNAMED,2,2,0.0
AL071889,1889,UNNAMED,0,0,0.0
AL081889,1889,UNNAMED,0,0,0.0
AL091889,1889,UNNAMED,2,0,0.0
AL011890,1890,UNNAMED,0,0,-0.24
AL021890,1890,UNNAMED,1,2,-0.24
AL031890,1890,UNNAMED,0,3,-0.24
AL041890,1890,UNNAMED,0,1,-0.24
AL011891,1891,UNNAMED,1,1,-0.09
AL021891,1891,UNNAMED,0,2,-0.09
AL031891,1891,UNNAMED,1,3,-0.09
AL041891,1891,UNNAMED,0,2,-0.09
AL051891,1891,UNNAMED,0,2,-0.09
AL061891,1891,UNNAMED,0,2,-0.09
AL071891,1891,UNNAMED,1,0,-0.09
AL081891,1891,UNNAMED,0,0,-0.09
AL091891,1891,UNNAMED,0,1,-0.09
AL101891,1891,UNNAMED,0,0,-0.09
AL011892,1892,UNNAMED,1,0,-0.13
AL021892,1892,UNNAMED,0,1,-0.13
AL031892,1892,UNNAMED,0,2,-0.13
AL041892,1892,UNNAMED,1,0,-0.13
AL051892,1892,UNNAMED,0,2,-0.13
AL061892,1892,UNNAMED,0,0,-0.13
AL071892,1892,UNNAMED,0,2,-0.13
AL081892,1892,UNNAMED,0,1,-0.13
AL091892,1892,UNNAMED,1,0,-0.13
AL011893,1893,UNNAMED,1,1,-0.19
AL021893,1893,UNNAMED,0,2,-0.19
AL031893,1893,UNNAMED,0,3,-0.19
AL041893,1893,UNNAMED,1,3,-0.19
AL051893,1893,UNNAMED,0,2,-0.19
AL061893,1893,UNNAMED,1,3,-0.19
AL071893,1893,UNNAMED,0,2,-0.19
AL081893,1893,UNNAMED,1,2,-0.19
AL091893,1893,UNNAMED,1,3,-0.19
AL101893,1893,UNNAMED,2,4,-0.19
AL111893,1893,UNNAMED,2,0,-0.19
AL121893,1893,UNNAMED,0,0,-0.19
AL011894,1894,UNNAMED,0,0,-0.21
AL021894,1894,UNNAMED,1,0,-0.21
AL031894,1894,UNNAMED,0,3,-0.21
AL041894,1894,UNNAMED,4,3,-0.21
AL051894,1894,UNNAMED,2,3,-0.21
